ano;esfera_administrativa;cnuc;nome_da_uc;uf;municipios_abrangidos;latitude;longitude;bioma;area_soma_bioma_(ha);grau_de_efetividade;calculo_efetividade;calculo_resultados;calculo_produtos;calculo_contexto;calculo_planejamento;calculo_insumos;calculo_processo
2020;Federal;0000.00.0024;AREA DE PROTECAO AMBIENTAL MEANDROS DO ARAGUAIA;GO, MT, TO;Nova Crixás (GO), São Miguel do Araguaia (GO), Cocalinho (MT), Novo Santo Antonio (MT), Formoso do Araguaia (TO), Sandolândia (TO);-13,13754388;-50,67897782;CERRADO;359188;3 - Moderada Efetividade;0.468075735;0.63020833;0.54722222;0.36111111;0.50895833;0.3515625;0.453125
2019;Federal;0000.00.0024;AREA DE PROTECAO AMBIENTAL MEANDROS DO ARAGUAIA;GO, MT, TO;Nova Crixás (GO), São Miguel do Araguaia (GO), Cocalinho (MT), Novo Santo Antonio (MT), Formoso do Araguaia (TO), Sandolândia (TO);-13,13754388;-50,67897782;CERRADO;359188;3 - Moderada Efetividade;0.447406374;0.54375;0.58333333;0.36111111;0.4069901;0.35294118;0.46527778
2017;Federal;0000.00.0024;AREA DE PROTECAO AMBIENTAL MEANDROS DO ARAGUAIA;GO, MT, TO;Nova Crixás (GO), São Miguel do Araguaia (GO), Cocalinho (MT), Novo Santo Antonio (MT), Formoso do Araguaia (TO), Sandolândia (TO);-13,13754388;-50,67897782;CERRADO;359188;3 - Moderada Efetividade;0.428825842;0.52013889;0.58333333;0.41666667;0.43468905;0.27083333;0.3828125
2018;Federal;0000.00.0024;AREA DE PROTECAO AMBIENTAL MEANDROS DO ARAGUAIA;GO, MT, TO;Nova Crixás (GO), São Miguel do Araguaia (GO), Cocalinho (MT), Novo Santo Antonio (MT), Formoso do Araguaia (TO), Sandolândia (TO);-13,13754388;-50,67897782;CERRADO;359188;3 - Moderada Efetividade;0.404464129;0.51375;0.58333333;0.36111111;0.38236127;0.2578125;0.36931818
2018;Federal;0000.00.0027;AREA DE PROTECAO AMBIENTAL MORRO DA PEDREIRA;MG;Conceição do Mato Dentro (MG), Itabira (MG), Itambé do Mato Dentro (MG), Jaboticatubas (MG), Nova União (MG), Morro do Pilar (MG), Santana do Riacho (MG), Taquaraçu de Minas (MG);-19,34941066;-43,55320889;CERRADO;131769;3 - Moderada Efetividade;0.546062282;0.39583333;0.71875;0.58333333;0.31455924;0.69886364;0.67361111
2019;Federal;0000.00.0027;AREA DE PROTECAO AMBIENTAL MORRO DA PEDREIRA;MG;Conceição do Mato Dentro (MG), Itabira (MG), Itambé do Mato Dentro (MG), Jaboticatubas (MG), Nova União (MG), Morro do Pilar (MG), Santana do Riacho (MG), Taquaraçu de Minas (MG);-19,34941066;-43,55320889;CERRADO;131769;3 - Moderada Efetividade;0.471033535;0.4998071;0.57738095;0.375;0.28975246;0.66666667;0.484375
2020;Federal;0000.00.0027;AREA DE PROTECAO AMBIENTAL MORRO DA PEDREIRA;MG;Conceição do Mato Dentro (MG), Itabira (MG), Itambé do Mato Dentro (MG), Jaboticatubas (MG), Nova União (MG), Morro do Pilar (MG), Santana do Riacho (MG), Taquaraçu de Minas (MG);-19,34941066;-43,55320889;CERRADO;131769;3 - Moderada Efetividade;0.465825662;0.50675154;0.59558824;0.325;0.28961314;0.625;0.515625
2020;Municipal;1870.35.3977;AREA DE PROTECAO AMBIENTAL MUNICIPAL DA SERRA DO GUARARU;SP;Guarujá (SP);-23,915681;-46,183906;MATA ATLANTICA;2560;2 - Efetiva;0.731047614;0.70494329;0.75378788;0.66666667;0.5836027;0.9375;0.7734375
2019;Municipal;1870.35.3977;AREA DE PROTECAO AMBIENTAL MUNICIPAL DA SERRA DO GUARARU;SP;Guarujá (SP);-23,915681;-46,183906;MATA ATLANTICA;2560;2 - Efetiva;0.723903356;0.76708333;0.75520833;0.66666667;0.6585953;0.94318182;0.59722222
2019;Municipal;0270.33.3503;AREA DE PROTECAO AMBIENTAL MUNICIPAL DAS SERRAS DE MARICA;RJ;Maricá (RJ);-22,89212436;-42,78727568;MATA ATLANTICA;2652;5 - Não Efetiva;0.161984212;0.0;0.20833333;0.5;0.11805556;0.1875;0.375
2020;Estadual;0000.31.3873;AREA DE PROTECAO AMBIENTAL PARQUE FERNAO DIAS;MG;Betim (MG), Contagem (MG);-19,9398062;-44,0797029;MATA ATLANTICA;99;3 - Moderada Efetividade;0.574202123;0.48765432;0.58333333;0.5;0.41743827;1.0;0.5625
2020;Estadual;0000.29.0302;AREA DE PROTECAO AMBIENTAL PLATAFORMA CONTINENTAL DO LITORAL NORTE;BA;Salvador (BA);-12,15003384;-37,65595851;MARINHO;352767;2 - Efetiva;0.606912035;0.59375;0.79166667;0.5;0.52002381;0.734375;0.546875
2019;Estadual;0000.29.0302;AREA DE PROTECAO AMBIENTAL PLATAFORMA CONTINENTAL DO LITORAL NORTE;BA;Salvador (BA);-12,15003384;-37,65595851;MARINHO;352767;3 - Moderada Efetividade;0.565903909;0.58333333;0.79166667;0.5;0.46605903;0.55;0.5375
2018;Estadual;0000.29.0306;AREA DE PROTECAO AMBIENTAL PONTA DA BALEIA / ABROLHOS;BA;Alcobaça (BA), Caravelas (BA);-17,82217918;-39,04274927;MARINHO;345544;3 - Moderada Efetividade;0.494754304;0.42553191;0.4619043;0.428571;0.78232323;0.47142857;0.453125
2020;Estadual;0000.29.0306;AREA DE PROTECAO AMBIENTAL PONTA DA BALEIA / ABROLHOS;BA;Alcobaça (BA), Caravelas (BA);-17,82217918;-39,04274927;MARINHO;345544;3 - Moderada Efetividade;0.45013511;0.5046658;0.63988095;0.27083333;0.3314432;0.48295455;0.53125
2019;Estadual;0000.29.0306;AREA DE PROTECAO AMBIENTAL PONTA DA BALEIA / ABROLHOS;BA;Alcobaça (BA), Caravelas (BA);-17,82217918;-39,04274927;MARINHO;345544;3 - Moderada Efetividade;0.434356128;0.54472222;0.57575758;0.27083333;0.3233032;0.44375;0.4921875
2020;Estadual;0000.29.0319;AREA DE PROTECAO AMBIENTAL PRATIGI;BA;Piraí do Norte (BA), Nilo Peçanha (BA), Ituberá (BA), Igrapiúna (BA), Ibirapitanga (BA);-13,639785;-39,06853;MATA ATLANTICA;93445;4 - Reduzida Efetividade;0.351881986;0.29166667;0.5;0.3125;0.16782407;0.55625;0.39583333
2019;Estadual;0000.29.0319;AREA DE PROTECAO AMBIENTAL PRATIGI;BA;Piraí do Norte (BA), Nilo Peçanha (BA), Ituberá (BA), Igrapiúna (BA), Ibirapitanga (BA);-13,639785;-39,06853;MATA ATLANTICA;93445;4 - Reduzida Efetividade;0.227495595;0.0;0.43333333;0.3125;0.17607668;0.50694444;0.4375
2020;Estadual;0000.29.0313;AREA DE PROTECAO AMBIENTAL RIO CAPIVARA;BA;Camaçari (BA), Salvador (BA);-12,789368;-38,199512;MARINHO;3215;4 - Reduzida Efetividade;0.292183896;0.3125;0.45238095;0.30555556;0.17737039;0.22916667;0.3125
2019;Estadual;0000.29.0313;AREA DE PROTECAO AMBIENTAL RIO CAPIVARA;BA;Camaçari (BA), Salvador (BA);-12,789368;-38,199512;MARINHO;3215;4 - Reduzida Efetividade;0.284119998;0.3125;0.44444444;0.30555556;0.13726852;0.10416667;0.54166667
