nome_da_uc;nota_pessoal_mean;nota_pessoal_std;nota_equipamento_mean;nota_equipamento_std;nota_capacidade_mean;nota_capacidade_std;nota_recurso_mean;nota_recurso_std;nota_apoio_mean;nota_apoio_std;cnuc;bioma;calculo_efetividade_mean;calculo_efetividade_std
REFUGIO DE VIDA SILVESTRE VEREDAS DO OESTE BAIANO;0.3611111111111111;0.18162078931419473;0.8888888888888888;0.18162078931419476;0.6666666666666666;0.1767766952966369;0.5555555555555556;0.39086797998528583;0.4166666666666667;0.25;0000.00.0219;CERRADO;0.3809513255;0.08195258857941254
RESERVA BIOLOGICA ATOL DAS ROCAS;0.8181818181818182;0.11677484162422842;0.8636363636363636;0.1305582419667734;0.9318181818181818;0.11677484162422844;0.8863636363636364;0.13055824196677335;0.22727272727272727;0.20780235364840838;0000.00.0203;MARINHO;0.7067456076666666;0.027890435281337726
RESERVA BIOLOGICA AUGUSTO RUSCHI;0.25;0.0;0.9722222222222222;0.08333333333333333;0.6666666666666666;0.25;0.5555555555555556;0.2429563289518875;0.3333333333333333;0.27950849718747367;0000.00.0191;MATA ATLANTICA;0.56571186775;0.10111931074792917
RESERVA BIOLOGICA BOM JESUS;0.6388888888888888;0.26040441147634164;0.8888888888888888;0.17619804662364144;0.8472222222222222;0.1744505847968063;0.7638888888888888;0.21815102402016304;0.3333333333333333;0.22687130324325752;0000.00.2634;MATA ATLANTICA;0.559882024;0.03641423191008798
RESERVA BIOLOGICA DA CONTAGEM;0.7;0.23786329554687716;0.875;0.17206180040292132;0.975;0.07694837640638655;0.7625;0.348634554557604;0.2875;0.27235570781415136;0000.00.0192;CERRADO;0.455726115;0.05367026516190185
RESERVA BIOLOGICA DA MATA ESCURA;0.3055555555555556;0.16666666666666666;0.8055555555555556;0.24295632895188754;0.8055555555555556;0.27322660517925;0.6388888888888888;0.3974746672570607;0.3888888888888889;0.3333333333333333;0000.00.0193;MATA ATLANTICA;0.43774336966666666;0.029429425095299864
RESERVA BIOLOGICA DA SERRA GERAL;0.4375;0.23935677693908453;0.5625;0.23935677693908453;0.5;0.3535533905932738;0.5625;0.375;0.625;0.14433756729740643;0000.43.2010;MATA ATLANTICA;0.511768328;
RESERVA BIOLOGICA DAS ARAUCARIAS;0.725;0.27512623365365296;0.65;0.31622776601683794;0.775;0.24860723150293831;0.275;0.4479893351905204;0.4;0.21081851067789195;0000.00.0276;MATA ATLANTICA;0.50369014675;0.04628159948936595
RESERVA BIOLOGICA DAS PEROBAS;0.8833333333333333;0.24760760046800623;0.9333333333333333;0.14840420992616596;0.9833333333333333;0.0645497224367903;0.9333333333333333;0.1484042099261659;0.2833333333333333;0.20845234695819798;0000.00.0275;MATA ATLANTICA;0.49717799074999997;0.04839393322608615
RESERVA BIOLOGICA DE COMBOIOS;0.6944444444444444;0.2429563289518875;0.8611111111111112;0.2534484387624258;0.7777777777777778;0.19543398999264291;0.8333333333333334;0.24999999999999997;0.4444444444444444;0.2429563289518875;0000.00.0195;MATA ATLANTICA;0.55291731025;0.003105759638845918
RESERVA BIOLOGICA DE PEDRA TALHADA;0.2727272727272727;0.07537783614444091;0.7045454545454546;0.10112997936948634;0.45454545454545453;0.21846572437632575;0.36363636363636365;0.30338993810845893;0.3181818181818182;0.11677484162422844;0000.00.0197;MATA ATLANTICA;0.40043390775;0.011329173898100129
RESERVA BIOLOGICA DE POCO DAS ANTAS;0.7307692307692307;0.3139389945637405;0.8269230769230769;0.1576062929890288;0.8076923076923077;0.10963225241337865;0.7115384615384616;0.2858859374484328;0.46153846153846156;0.32025630761017426;0000.00.0215;MATA ATLANTICA;0.502986206;0.051021996495496554
RESERVA BIOLOGICA DE SALTINHO;0.6785714285714286;0.11720180773462387;0.75;0.1386750490563073;0.7678571428571429;0.11865778663733087;0.6964285714285714;0.2004459314343183;0.48214285714285715;0.2493122407877187;0000.00.0198;MATA ATLANTICA;0.39756064900000004;0.027773307000570322
RESERVA BIOLOGICA DE SANTA ISABEL;0.45588235294117646;0.32155984714220404;0.6470588235294118;0.26603018404596385;0.7647058823529411;0.2720091369572635;0.6029411764705882;0.3194089210143157;0.35294117647058826;0.23483410915693106;0000.00.0199;MATA ATLANTICA;0.49118724599999997;0.06017076278388807
RESERVA BIOLOGICA DE SERRA NEGRA;0.29545454545454547;0.10112997936948631;0.3181818181818182;0.11677484162422844;0.5;0.0;0.2727272727272727;0.07537783614444091;0.38636363636363635;0.20504988306618113;0000.00.0200;CAATINGA;0.48473197075;0.013414332544887721
RESERVA BIOLOGICA DE SOORETAMA;0.5;0.2958039891549808;0.8409090909090909;0.20225995873897262;0.75;0.2958039891549808;0.6136363636363636;0.23354968324845687;0.4318181818181818;0.27592818565047617;0000.00.0201;MATA ATLANTICA;0.4246384385;0.03435525619000023
RESERVA BIOLOGICA DE UNA;0.65;0.2350811729908136;0.7875;0.14678573715309995;0.8625;0.15120132970732483;0.7625;0.2625156636930652;0.2;0.25131234497501725;0000.00.0202;MATA ATLANTICA;0.39948151325;0.0381001190210101
RESERVA BIOLOGICA DO ABUFARI;0.4791666666666667;0.27090616736270795;0.5833333333333334;0.2886751345948129;0.6666666666666666;0.1628347368197324;0.6875;0.2413268247908557;0.3125;0.15539539012701525;0000.00.0194;AMAZONIA;0.46311923833333335;0.034693037047908715
RESERVA BIOLOGICA DO CERRADAO;0.25;;0.25;;0.25;;0.25;;0.25;;0000.53.1647;CERRADO;0.182767033;
RESERVA BIOLOGICA DO CORREGO DO VEADO;0.6875;0.2216013151069796;0.9375;0.11572751247156891;0.84375;0.1293872923766914;0.8125;0.2912411862553588;0.40625;0.2969337347913552;0000.00.0204;MATA ATLANTICA;0.4857061815;0.08900141790674079
RESERVA BIOLOGICA DO CORREGO GRANDE;0.75;0.17677669529663687;0.9166666666666666;0.17677669529663687;0.9444444444444444;0.11023963796102462;0.75;0.25;0.4722222222222222;0.29166666666666663;0000.00.0205;MATA ATLANTICA;0.52875217275;0.1045645177684823
RESERVA BIOLOGICA DO GAMA;0.25;;0.25;;0.25;;0.25;;0.25;;0000.53.1656;CERRADO;0.157695795;
RESERVA BIOLOGICA DO GUAPORE;0.3541666666666667;0.22508415934463;0.75;0.3843530573929037;0.8125;0.3038577717527486;0.7083333333333334;0.4105613304496736;0.2708333333333333;0.19824036527468977;0000.00.0206;AMAZONIA;0.526031932;0.018601795597219816
