nome_da_uc;nota_pessoal_mean;nota_pessoal_std;nota_equipamento_mean;nota_equipamento_std;nota_capacidade_mean;nota_capacidade_std;nota_recurso_mean;nota_recurso_std;nota_apoio_mean;nota_apoio_std;cnuc;bioma
AREA DE RELEVANTE INTERESSE ECOLOGICA MATA DE SANTA GENEBRA;0.6875;0.1596665934146263;0.6875;0.2674809388191595;0.7;0.19194297398747862;0.6125;0.31907555614041605;0.275;0.2798025619686327;0000.00.0040;MATA ATLANTICA
AREA DE RELEVANTE INTERESSE ECOLOGICA MATAO DE COSMOPOLIS;0.5;0.25;0.7;0.2091650066335189;0.85;0.223606797749979;0.4;0.37914377220257756;0.1;0.13693063937629152;0000.00.0041;MATA ATLANTICA
AREA DE RELEVANTE INTERESSE ECOLOGICA PE-DE-GIGANTE;0.10714285714285714;0.1966989481173608;0.21428571428571427;0.36596252735569995;0.21428571428571427;0.36596252735569995;0.21428571428571427;0.36596252735569995;0.17857142857142858;0.31339158526400435;0000.00.0032;CERRADO
AREA DE RELEVANTE INTERESSE ECOLOGICA PROJETO DINAMICA BIOLOGICA DE FRAGMENTOS FLORESTAIS;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.1875;0.25877458475338283;0000.00.0043;AMAZONIA
AREA DE RELEVANTE INTERESSE ECOLOGICA SERINGAL NOVA ESPERANCA;0.25;0.3535533905932738;0.875;0.1767766952966369;0.5;0.3535533905932738;0.5;0.0;0.0;0.0;0000.00.0044;AMAZONIA
AREA DE RELEVANTE INTERESSE ECOLOGICA SERRA DA ABELHA;0.7833333333333333;0.22886885410853175;0.85;0.22756474745819988;0.9166666666666666;0.12198750911856665;0.7666666666666667;0.3199702367110922;0.31666666666666665;0.3056998216427038;0000.00.0045;MATA ATLANTICA
AREA DE RELEVANTE INTERESSE ECOLOGICO AGUAS DE SAO JOAO;0.25;0.0;0.0;0.0;0.75;0.5;0.25;0.5;0.75;0.0;0000.52.1752;CERRADO
AREA DE RELEVANTE INTERESSE ECOLOGICO BURITI DE VASSUNUNGA;0.0;;0.0;;0.0;;0.0;;0.0;;0000.00.0030;CERRADO
AREA DE RELEVANTE INTERESSE ECOLOGICO CRULS;0.25;;0.25;;0.25;;0.0;;0.75;;0000.53.1658;CERRADO
AREA DE RELEVANTE INTERESSE ECOLOGICO DA GRANJA DO IPE;0.25;;0.25;;0.25;;0.0;;0.0;;0000.53.1644;CERRADO
AREA DE RELEVANTE INTERESSE ECOLOGICO DA VILA ESTRUTURAL;0.25;;0.25;;0.25;;0.0;;0.0;;0000.53.1651;CERRADO
AREA DE RELEVANTE INTERESSE ECOLOGICO DAS AGUAS EMENDADAS DOS INHAMUNS;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0000.23.3483;CAATINGA
AREA DE RELEVANTE INTERESSE ECOLOGICO DO BOSQUE;0.25;;0.25;;0.25;;0.25;;0.0;;0000.53.1646;CERRADO
AREA DE RELEVANTE INTERESSE ECOLOGICO DO CAMBEBA;0.425;0.20581815058714115;0.625;0.21245914639969934;0.7;0.10540925533894596;0.325;0.39175530911810524;0.475;0.21889875894272828;0000.23.3807;CAATINGA
AREA DE RELEVANTE INTERESSE ECOLOGICO DO CORREGO CABECEIRA DO VALO;0.25;;0.25;;0.25;;0.0;;0.0;;0000.53.1652;CERRADO
AREA DE RELEVANTE INTERESSE ECOLOGICO DO CORREGO MATO GRANDE;0.25;;0.25;;0.25;;0.5;;0.75;;0000.53.1650;CERRADO
AREA DE RELEVANTE INTERESSE ECOLOGICO DO SITIO CURIO;0.7727272727272727;0.23596995186213474;0.8636363636363636;0.13055824196677338;0.9545454545454546;0.10112997936948633;0.6818181818181818;0.38876260575878907;0.3409090909090909;0.30151134457776363;0000.23.1932;CAATINGA
AREA DE RELEVANTE INTERESSE ECOLOGICO DO TORTO;0.25;;0.25;;0.25;;0.25;;0.25;;0000.53.1768;CERRADO
AREA DE RELEVANTE INTERESSE ECOLOGICO DOM BOSCO;0.25;;0.25;;0.25;;0.25;;0.5;;0000.53.1648;CERRADO
AREA DE RELEVANTE INTERESSE ECOLOGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA;0.6;0.22360679774997896;0.3;0.2091650066335189;0.85;0.13693063937629152;0.1;0.13693063937629152;0.4;0.22360679774997896;0000.00.0037;MATA ATLANTICA
